Altitude;longitude;latitude
150,97;1,39919;43,60554
150,71;1,39938;43,60554
150,15;1,39956;43,60554
150,04;1,39975;43,60555
150,01;1,39993;43,60555
149,91;1,40012;43,60555
147,80;1,40031;43,60556
146,93;1,40049;43,60556
146,75;1,40068;43,60556
145,04;1,40086;43,60556
143,44;1,40105;43,60557
142,86;1,40123;43,60557
142,44;1,40142;43,60557
142,37;1,40161;43,60557
142,27;1,40179;43,60558
141,81;1,40198;43,60558
141,21;1,40216;43,60558
140,63;1,40235;43,60559
140,22;1,40253;43,60559
139,71;1,40272;43,60559
139,03;1,40291;43,60559
138,81;1,40309;43,60560
138,90;1,40328;43,60560
139,74;1,40346;43,60560
141,95;1,40365;43,60560
143,63;1,40383;43,60561
143,73;1,40402;43,60561
143,61;1,40421;43,60561
143,47;1,40439;43,60562
143,28;1,40458;43,60562
142,85;1,40476;43,60562
140,47;1,40495;43,60562
137,89;1,40513;43,60563
137,70;1,40532;43,60563
137,52;1,40551;43,60563
137,70;1,40569;43,60563
137,64;1,40588;43,60564
137,67;1,40606;43,60564
137,70;1,40625;43,60564
137,66;1,40643;43,60565
137,55;1,40662;43,60565
137,40;1,40681;43,60565
137,29;1,40699;43,60565
137,23;1,40718;43,60566
136,91;1,40736;43,60566
136,95;1,40755;43,60566
137,41;1,40773;43,60566
137,46;1,40792;43,60567
137,48;1,40811;43,60567
137,44;1,40829;43,60567
137,48;1,40848;43,60568
137,57;1,40866;43,60568
137,39;1,40885;43,60568
137,29;1,40903;43,60568
137,26;1,40922;43,60569
137,07;1,40941;43,60569
136,85;1,40959;43,60569
135,97;1,40978;43,60569
134,76;1,40996;43,60570
134,53;1,41015;43,60570
134,82;1,41033;43,60570
134,98;1,41052;43,60571
135,07;1,41071;43,60571
135,10;1,41089;43,60571
135,11;1,41108;43,60571
135,18;1,41126;43,60572
135,21;1,41145;43,60572
135,22;1,41163;43,60572
135,15;1,41182;43,60572
135,24;1,41201;43,60573
135,20;1,41219;43,60573
135,18;1,41238;43,60573
135,26;1,41256;43,60574
135,28;1,41275;43,60574
135,17;1,41293;43,60574
135,10;1,41312;43,60574
135,02;1,41330;43,60575
134,89;1,41349;43,60575
134,75;1,41368;43,60575
134,66;1,41386;43,60575
134,39;1,41405;43,60576
135,13;1,41423;43,60576
135,54;1,41442;43,60576
135,12;1,41460;43,60577
134,07;1,41479;43,60577
133,32;1,41498;43,60577
132,36;1,41516;43,60577
131,65;1,41535;43,60578
131,74;1,41553;43,60578
133,43;1,41572;43,60578
130,69;1,41590;43,60578
125,75;1,41609;43,60579
125,07;1,41628;43,60579
125,04;1,41646;43,60579
125,05;1,41665;43,60580
124,93;1,41683;43,60580
124,91;1,41702;43,60580
124,96;1,41720;43,60580
124,97;1,41739;43,60581
124,96;1,41758;43,60581
124,98;1,41776;43,60581
125,00;1,41795;43,60581
124,98;1,41813;43,60582
125,07;1,41832;43,60582
125,30;1,41850;43,60582
125,36;1,41869;43,60582
125,39;1,41888;43,60583
126,02;1,41906;43,60583
126,51;1,41925;43,60583
126,61;1,41943;43,60584
127,07;1,41962;43,60584
127,78;1,41980;43,60584
129,84;1,41999;43,60584
133,16;1,42018;43,60585
134,99;1,42036;43,60585
134,39;1,42055;43,60585
132,58;1,42073;43,60585
131,39;1,42092;43,60586
131,05;1,42110;43,60586
131,13;1,42129;43,60586
131,41;1,42148;43,60587
131,66;1,42166;43,60587
131,65;1,42185;43,60587
131,77;1,42203;43,60587
131,94;1,42222;43,60588
132,07;1,42240;43,60588
132,25;1,42259;43,60588
132,28;1,42278;43,60588
132,24;1,42296;43,60589
132,12;1,42315;43,60589
132,08;1,42333;43,60589
132,12;1,42352;43,60589
132,30;1,42370;43,60590
132,44;1,42389;43,60590
132,62;1,42408;43,60590
132,85;1,42426;43,60591
132,56;1,42445;43,60591
132,53;1,42463;43,60591
132,54;1,42482;43,60591
132,51;1,42500;43,60592
132,49;1,42519;43,60592
132,78;1,42538;43,60592
132,85;1,42556;43,60592
132,65;1,42575;43,60593
132,63;1,42593;43,60593
132,42;1,42612;43,60593
132,36;1,42630;43,60594
132,38;1,42649;43,60594
132,33;1,42668;43,60594
132,47;1,42686;43,60594
132,93;1,42705;43,60595
133,49;1,42723;43,60595
133,66;1,42742;43,60595
133,86;1,42760;43,60595
134,10;1,42779;43,60596
135,12;1,42797;43,60596
135,71;1,42816;43,60596
135,61;1,42835;43,60596
135,79;1,42853;43,60597
135,98;1,42872;43,60597
136,15;1,42890;43,60597
136,22;1,42909;43,60598
136,36;1,42927;43,60598
136,48;1,42946;43,60598
136,59;1,42965;43,60598
136,58;1,42983;43,60599
136,60;1,43002;43,60599
136,53;1,43020;43,60599
136,47;1,43039;43,60599
136,37;1,43057;43,60600
136,33;1,43076;43,60600
136,33;1,43095;43,60600
135,25;1,43113;43,60601
133,74;1,43132;43,60601
133,13;1,43150;43,60601
132,95;1,43169;43,60601
133,81;1,43187;43,60602
135,81;1,43206;43,60602
136,81;1,43225;43,60602
137,13;1,43243;43,60602
137,21;1,43262;43,60603
137,10;1,43280;43,60603
136,91;1,43299;43,60603
136,83;1,43317;43,60603
137,07;1,43336;43,60604
137,47;1,43355;43,60604
137,02;1,43373;43,60604
136,85;1,43392;43,60605
137,31;1,43410;43,60605
138,50;1,43429;43,60605
138,75;1,43447;43,60605
139,03;1,43466;43,60606
140,08;1,43485;43,60606
141,35;1,43503;43,60606
141,69;1,43522;43,60606
142,07;1,43540;43,60607
142,16;1,43559;43,60607
142,24;1,43577;43,60607
142,21;1,43596;43,60607
141,89;1,43615;43,60608
141,77;1,43633;43,60608
141,67;1,43652;43,60608
141,58;1,43670;43,60609
141,48;1,43689;43,60609
141,57;1,43707;43,60609
141,62;1,43726;43,60609
141,62;1,43745;43,60610
141,66;1,43763;43,60610
141,68;1,43782;43,60610
141,69;1,43800;43,60610
141,78;1,43819;43,60611
141,85;1,43837;43,60611
141,71;1,43856;43,60611
141,67;1,43875;43,60611
141,81;1,43893;43,60612
142,07;1,43912;43,60612
142,34;1,43930;43,60612
142,67;1,43949;43,60613
142,66;1,43967;43,60613
142,42;1,43986;43,60613
142,58;1,44005;43,60613
142,96;1,44023;43,60614
142,98;1,44042;43,60614
142,79;1,44060;43,60614
142,59;1,44079;43,60614
142,42;1,44097;43,60615
142,38;1,44116;43,60615
142,50;1,44135;43,60615
142,60;1,44153;43,60615
142,68;1,44172;43,60616
143,39;1,44190;43,60616
143,95;1,44209;43,60616
144,09;1,44227;43,60617
144,02;1,44246;43,60617
143,98;1,44265;43,60617
144,05;1,44283;43,60617
143,97;1,44302;43,60618
143,84;1,44320;43,60618
143,16;1,44339;43,60618
142,79;1,44357;43,60618
142,58;1,44376;43,60619
142,54;1,44394;43,60619
142,20;1,44413;43,60619
141,87;1,44432;43,60619
141,64;1,44450;43,60620
141,70;1,44469;43,60620
151,01;1,39920;43,60540
150,62;1,39938;43,60541
150,21;1,39957;43,60541
150,17;1,39975;43,60541
150,19;1,39994;43,60542
150,10;1,40012;43,60542
148,14;1,40031;43,60542
147,04;1,40050;43,60542
146,72;1,40068;43,60543
144,85;1,40087;43,60543
143,53;1,40105;43,60543
142,93;1,40124;43,60543
142,49;1,40142;43,60544
142,64;1,40161;43,60544
142,81;1,40180;43,60544
142,61;1,40198;43,60545
141,95;1,40217;43,60545
140,95;1,40235;43,60545
140,12;1,40254;43,60545
139,58;1,40272;43,60546
139,19;1,40291;43,60546
138,92;1,40310;43,60546
139,41;1,40328;43,60546
142,74;1,40347;43,60547
144,21;1,40365;43,60547
144,16;1,40384;43,60547
143,81;1,40402;43,60548
143,53;1,40421;43,60548
143,42;1,40440;43,60548
143,16;1,40458;43,60548
141,84;1,40477;43,60549
138,31;1,40495;43,60549
137,75;1,40514;43,60549
137,67;1,40532;43,60549
137,59;1,40551;43,60550
137,75;1,40570;43,60550
137,66;1,40588;43,60550
137,77;1,40607;43,60551
137,87;1,40625;43,60551
137,88;1,40644;43,60551
137,64;1,40662;43,60551
137,39;1,40681;43,60552
137,40;1,40700;43,60552
137,21;1,40718;43,60552
136,81;1,40737;43,60552
137,18;1,40755;43,60553
137,39;1,40774;43,60553
137,40;1,40792;43,60553
137,53;1,40811;43,60554
137,51;1,40829;43,60554
137,49;1,40848;43,60554
137,69;1,40867;43,60554
137,45;1,40885;43,60555
137,36;1,40904;43,60555
137,23;1,40922;43,60555
137,09;1,40941;43,60555
136,85;1,40959;43,60556
135,97;1,40978;43,60556
134,91;1,40997;43,60556
134,62;1,41015;43,60557
134,83;1,41034;43,60557
135,03;1,41052;43,60557
135,05;1,41071;43,60557
135,06;1,41089;43,60558
135,21;1,41108;43,60558
135,29;1,41127;43,60558
135,29;1,41145;43,60558
135,26;1,41164;43,60559
135,37;1,41182;43,60559
135,29;1,41201;43,60559
135,25;1,41219;43,60560
135,24;1,41238;43,60560
135,35;1,41257;43,60560
135,37;1,41275;43,60560
135,21;1,41294;43,60561
