code_station;date_observation;debit_moyen_journalier;code_crue
O125251001;1905-01-02;17200 [m3/s];1905
O125251001;1905-01-03;17200 [m3/s];1905
O125251001;1905-01-04;16826 [m3/s];1905
O125251001;1905-01-05;14918 [m3/s];1905
O125251001;1905-01-06;15811 [m3/s];1905
O125251001;1905-01-07;22323 [m3/s];1905
O125251001;1905-01-08;22095 [m3/s];1905
O125251001;1905-01-09;20086 [m3/s];1905
O125251001;1905-01-10;17531 [m3/s];1905
O125251001;1905-01-11;17050 [m3/s];1905
O125251001;1905-01-12;16287 [m3/s];1905
O125251001;1905-01-13;16030 [m3/s];1905
O125251001;1905-01-14;15267 [m3/s];1905
O125251001;1905-01-15;15384 [m3/s];1905
O125251001;1905-01-16;16380 [m3/s];1905
O125251001;1905-01-17;15777 [m3/s];1905
O125251001;1905-01-18;15670 [m3/s];1905
O125251001;1905-01-19;15670 [m3/s];1905
O125251001;1905-01-20;15520 [m3/s];1905
O125251001;1905-01-21;14757 [m3/s];1905
O125251001;1905-01-22;14650 [m3/s];1905
O125251001;1905-01-23;14650 [m3/s];1905
O125251001;1905-01-24;14650 [m3/s];1905
O125251001;1905-01-25;14650 [m3/s];1905
O125251001;1905-01-26;14650 [m3/s];1905
O125251001;1905-01-27;14650 [m3/s];1905
O125251001;1905-01-28;14650 [m3/s];1905
O125251001;1905-01-29;14650 [m3/s];1905
O125251001;1905-01-30;14650 [m3/s];1905
O125251001;1905-01-31;14127 [m3/s];1905
O125251001;1905-02-01;11606 [m3/s];1905
O125251001;1905-02-02;11300 [m3/s];1905
O125251001;1905-02-03;11300 [m3/s];1905
O125251001;1905-02-04;11300 [m3/s];1905
O125251001;1905-02-05;11300 [m3/s];1905
O125251001;1905-02-06;11300 [m3/s];1905
O125251001;1905-02-07;11300 [m3/s];1905
O125251001;1905-02-08;11300 [m3/s];1905
O125251001;1905-02-09;11300 [m3/s];1905
O125251001;1905-02-10;11183 [m3/s];1905
O125251001;1905-02-11;10584 [m3/s];1905
O125251001;1905-02-12;10500 [m3/s];1905
O125251001;1905-02-13;10500 [m3/s];1905
O125251001;1905-02-14;10500 [m3/s];1905
O125251001;1905-02-15;10500 [m3/s];1905
O125251001;1905-02-16;10500 [m3/s];1905
O125251001;1905-02-17;10852 [m3/s];1905
O125251001;1905-02-18;13028 [m3/s];1905
O125251001;1905-02-19;15239 [m3/s];1905
O125251001;1905-02-20;18765 [m3/s];1905
O125251001;1905-02-21;15186 [m3/s];1905
O125251001;1905-02-22;14650 [m3/s];1905
O125251001;1905-02-23;14650 [m3/s];1905
O125251001;1905-02-24;14650 [m3/s];1905
O125251001;1905-02-25;14650 [m3/s];1905
O125251001;1905-02-26;15024 [m3/s];1905
O125251001;1905-02-27;16932 [m3/s];1905
O125251001;1905-02-28;18125 [m3/s];1905
O125251001;1905-03-01;22839 [m3/s];1905
O125251001;1905-03-02;23315 [m3/s];1905
O125251001;1905-03-03;22372 [m3/s];1905
O125251001;1905-03-04;22240 [m3/s];1905
O125251001;1905-03-05;22240 [m3/s];1905
O125251001;1905-03-06;25931 [m3/s];1905
O125251001;1905-03-07;48602 [m3/s];1905
O125251001;1905-03-08;53847 [m3/s];1905
O125251001;1905-03-09;48640 [m3/s];1905
O125251001;1905-03-10;38179 [m3/s];1905
O125251001;1905-03-11;27278 [m3/s];1905
O125251001;1905-03-12;38591 [m3/s];1905
O125251001;1905-03-13;44085 [m3/s];1905
O125251001;1905-03-14;43163 [m3/s];1905
O125251001;1905-03-15;37941 [m3/s];1905
O125251001;1905-03-16;46202 [m3/s];1905
O125251001;1905-03-17;47109 [m3/s];1905
O125251001;1905-03-18;44909 [m3/s];1905
O125251001;1905-03-19;44600 [m3/s];1905
O125251001;1905-03-20;44600 [m3/s];1905
O125251001;1905-03-21;43881 [m3/s];1905
O125251001;1905-03-22;40215 [m3/s];1905
O125251001;1905-03-23;39700 [m3/s];1905
O125251001;1905-03-24;39062 [m3/s];1905
O125251001;1905-03-25;35807 [m3/s];1905
O125251001;1905-03-26;35350 [m3/s];1905
O125251001;1905-03-27;38701 [m3/s];1905
O125251001;1905-03-28;57375 [m3/s];1905
O125251001;1905-03-29;58124 [m3/s];1905
O125251001;1905-03-30;55355 [m3/s];1905
O125251001;1905-03-31;56657 [m3/s];1905
O125251001;1905-04-01;64738 [m3/s];1905
O125251001;1905-04-02;63251 [m3/s];1905
O125251001;1905-04-03;63763 [m3/s];1905
O125251001;1905-04-04;68451 [m3/s];1905
O125251001;1905-04-05;66029 [m3/s];1905
O125251001;1905-04-06;61232 [m3/s];1905
O125251001;1905-04-07;60640 [m3/s];1905
O125251001;1905-04-08;60640 [m3/s];1905
O125251001;1905-04-09;60640 [m3/s];1905
O125251001;1905-04-10;60309 [m3/s];1905
O125251001;1905-04-11;58621 [m3/s];1905
O125251001;1905-04-12;57887 [m3/s];1905
O125251001;1905-04-13;53743 [m3/s];1905
O125251001;1905-04-14;45629 [m3/s];1905
O125251001;1905-04-15;44169 [m3/s];1905
O125251001;1905-04-16;41681 [m3/s];1905
O125251001;1905-04-17;39906 [m3/s];1905
O125251001;1905-04-18;39062 [m3/s];1905
O125251001;1905-04-19;35807 [m3/s];1905
O125251001;1905-04-20;34712 [m3/s];1905
O125251001;1905-04-21;31457 [m3/s];1905
O125251001;1905-04-22;31000 [m3/s];1905
O125251001;1905-04-23;31000 [m3/s];1905
O125251001;1905-04-24;30450 [m3/s];1905
O125251001;1905-04-25;27644 [m3/s];1905
O125251001;1905-04-26;27250 [m3/s];1905
O125251001;1905-04-27;27250 [m3/s];1905
O125251001;1905-04-28;28351 [m3/s];1905
O125251001;1905-04-29;34436 [m3/s];1905
O125251001;1905-04-30;35989 [m3/s];1905
O125251001;1905-05-01;39675 [m3/s];1905
O125251001;1905-05-02;42331 [m3/s];1905
O125251001;1905-05-03;42640 [m3/s];1905
O125251001;1905-05-04;42640 [m3/s];1905
O125251001;1905-05-05;48585 [m3/s];1905
O125251001;1905-05-06;83424 [m3/s];1905
O125251001;1905-05-07;71812 [m3/s];1905
O125251001;1905-05-08;51823 [m3/s];1905
O125251001;1905-05-09;51930 [m3/s];1905
O125251001;1905-05-10;64133 [m3/s];1905
O125251001;1905-05-11;62920 [m3/s];1905
O125251001;1905-05-12;66751 [m3/s];1905
O125251001;1905-05-13;100146 [m3/s];1905
O125251001;1905-05-14;95203 [m3/s];1905
O125251001;1905-05-15;75329 [m3/s];1905
O125251001;1905-05-16;66487 [m3/s];1905
O125251001;1905-05-17;61232 [m3/s];1905
O125251001;1905-05-18;62348 [m3/s];1905
O125251001;1905-05-19;74704 [m3/s];1905
O125251001;1905-05-20;87603 [m3/s];1905
O125251001;1905-05-21;89200 [m3/s];1905
