mois,hauteur_max,moyenne_mois,max_debit,pluvio - ratio,moyenne_mois10ans
1857-05,1007,1830,,,1007
1857-06,935,1780,,,935
1857-07,536,850,,,536
1857-08,397,750,,,397
1857-09,521,1250,,,521
1857-10,541,2400,,,541
1857-11,535,680,,,535
1857-12,589,350,,,589
1875-01,535,1620,,,535
1875-02,535,1370,,,535
1875-03,627,1220,,,627
1875-04,939,1840,,,939
1875-05,1048,1570,,,1048
1875-06,1074,8320,,6100,1074
1875-07,640,1320,,,640
1875-08,380,670,,,380
1875-09,385,1120,,,385
1875-10,528,1670,,,528
1875-11,533,4270,,,533
1875-12,491,350,,,491
1879-01,599,3400,,,599
1879-02,596,4870,,,596
1879-03,652,1620,,,652
1879-04,948,2600,,,948
1879-05,1068,2200,,,1068
1879-06,1102,2180,,,1102
1879-07,719,1520,,,719
1879-08,412,800,,,412
1879-09,403,800,,,403
1879-10,505,950,,,505
1879-11,557,810,,,557
1879-12,514,780,,,514
1900-01,617,2560,,,617
1900-02,687,2190,,,687
1900-03,736,1030,,,736
1900-04,935,1550,,,935
1900-05,1126,1820,,,1126
1900-06,1069,4000,,,1069
1900-07,692,2220,,,692
1900-08,476,780,,,476
1900-09,377,1050,,,377
1900-10,488,1000,,,488
1900-11,544,1580,,,544
1900-12,636,1600,,,636
1905-01,651,540,1116,,651
1905-02,704,700,938,,704
1905-03,783,1200,2906,,783
1905-04,987,1200,3423,,987
1905-05,1181,4240,5620,5750,1181
1905-06,1147,1200,5972,,1147
1905-07,739,850,3032,,739
1905-08,518,950,2230,,518
1905-09,401,1050,3591,,401
1905-10,525,1700,4567,,525
1905-11,583,2350,8913,,583
1905-12,678,1100,3572,,678
1952-01,722,2150,3916,,722
1952-02,716,4570,11834,7800,716
1952-03,712,1780,10390,,712
1952-04,817,1250,5896,,817
1952-05,927,1150,4347,,927
1952-06,808,850,3709,,808
1952-07,518,700,1650,,518
1952-08,415,400,898,,415
1952-09,439,300,763,,439
1952-10,491,950,3101,,491
1952-11,579,2170,5537,,579
1952-12,702,1900,5739,,702
1977-01,746,690,1685,,746
1977-02,863,730,2305,,863
1977-03,858,760,1983,,858
1977-04,967,1440,5172,,967
1977-05,1093,4310,13113,5900,1093
1977-06,923,1760,5112,,923
1977-07,624,2720,5892,,624
1977-08,515,2190,5449,,515
1977-09,491,720,2403,,491
1977-10,514,720,2276,,514
1977-11,592,760,1404,,592
1977-12,715,850,2937,,715
2000-01,816,900,1656,,816
2000-02,785,2750,6094,,785
2000-03,845,1090,2162,,845
2000-04,1008,1680,3684,,1008
2000-05,1132,1480,2996,,1132
2000-06,919,4380,10691,5850,919
2000-07,628,1100,3397,,628
2000-08,556,990,2313,,556
2000-09,555,750,1346,,555
2000-10,669,1130,1673,,669
2000-11,803,1110,2417,,803
2000-12,804,1010,1491,,804
2022-01,865,4633,14316,4950,865
2022-02,882,830,2120,,882
2022-03,833,1690,3444,,833
2022-04,899,1232,3329,,899
2022-05,1056,1172,3761,,1056
2022-06,925,838,2639,,925
2022-07,634,611,,,634
2022-08,540,759,,,540
2022-09,536,623,,,536
2022-10,589,806,,,589
2022-11,702,1260,,,702
2022-12,841,766,,,841
