"code_station","date_heure","distance","min_hauteur","max_hauteur","hauteur","h_ratio"
O000001001,2022-01-08 00:00:00.000,122121.46100910891,-6,1033,83,8.5659
O000001001,2022-01-08 00:05:00.000,122121.46100910891,-6,1033,85,8.7584
O000001001,2022-01-08 00:10:00.000,122121.46100910891,-6,1033,96,9.8171
O000001001,2022-01-08 00:15:00.000,122121.46100910891,-6,1033,99,10.1059
O000001001,2022-01-08 00:20:00.000,122121.46100910891,-6,1033,91,9.3359
O000001001,2022-01-08 00:25:00.000,122121.46100910891,-6,1033,61,6.4485
O000001001,2022-01-08 00:30:00.000,122121.46100910891,-6,1033,38,4.2348
O000001001,2022-01-08 00:35:00.000,122121.46100910891,-6,1033,23,2.7911
O000001001,2022-01-08 00:40:00.000,122121.46100910891,-6,1033,18,2.3099
O000001001,2022-01-08 00:45:00.000,122121.46100910891,-6,1033,18,2.3099
O000001001,2022-01-08 00:50:00.000,122121.46100910891,-6,1033,15,2.0212
O000001001,2022-01-08 00:55:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 01:00:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 01:05:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 01:10:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 01:15:00.000,122121.46100910891,-6,1033,13,1.8287
O000001001,2022-01-08 01:20:00.000,122121.46100910891,-6,1033,16,2.1174
O000001001,2022-01-08 01:25:00.000,122121.46100910891,-6,1033,16,2.1174
O000001001,2022-01-08 01:30:00.000,122121.46100910891,-6,1033,16,2.1174
O000001001,2022-01-08 01:35:00.000,122121.46100910891,-6,1033,15,2.0212
O000001001,2022-01-08 01:40:00.000,122121.46100910891,-6,1033,14,1.9249
O000001001,2022-01-08 01:45:00.000,122121.46100910891,-6,1033,13,1.8287
O000001001,2022-01-08 01:50:00.000,122121.46100910891,-6,1033,13,1.8287
O000001001,2022-01-08 01:55:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:00:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:05:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:10:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 02:15:00.000,122121.46100910891,-6,1033,13,1.8287
O000001001,2022-01-08 02:20:00.000,122121.46100910891,-6,1033,15,2.0212
O000001001,2022-01-08 02:25:00.000,122121.46100910891,-6,1033,16,2.1174
O000001001,2022-01-08 02:30:00.000,122121.46100910891,-6,1033,14,1.9249
O000001001,2022-01-08 02:35:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:40:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:45:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:50:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 02:55:00.000,122121.46100910891,-6,1033,11,1.6362
O000001001,2022-01-08 03:00:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 03:05:00.000,122121.46100910891,-6,1033,8,1.3474
O000001001,2022-01-08 03:10:00.000,122121.46100910891,-6,1033,8,1.3474
O000001001,2022-01-08 03:15:00.000,122121.46100910891,-6,1033,8,1.3474
O000001001,2022-01-08 03:20:00.000,122121.46100910891,-6,1033,9,1.4437
O000001001,2022-01-08 03:25:00.000,122121.46100910891,-6,1033,9,1.4437
O000001001,2022-01-08 03:30:00.000,122121.46100910891,-6,1033,10,1.5399
O000001001,2022-01-08 03:35:00.000,122121.46100910891,-6,1033,9,1.4437
O000001001,2022-01-08 03:40:00.000,122121.46100910891,-6,1033,8,1.3474
O000001001,2022-01-08 03:45:00.000,122121.46100910891,-6,1033,8,1.3474
O000001001,2022-01-08 03:50:00.000,122121.46100910891,-6,1033,9,1.4437
O000001001,2022-01-08 03:55:00.000,122121.46100910891,-6,1033,9,1.4437
O000001001,2022-01-08 04:00:00.000,122121.46100910891,-6,1033,14,1.9249
O000001001,2022-01-08 04:05:00.000,122121.46100910891,-6,1033,43,4.7161
O000001001,2022-01-08 04:10:00.000,122121.46100910891,-6,1033,63,6.6410
O000001001,2022-01-08 04:15:00.000,122121.46100910891,-6,1033,68,7.1222
O000001001,2022-01-08 04:20:00.000,122121.46100910891,-6,1033,69,7.2185
O000001001,2022-01-08 04:25:00.000,122121.46100910891,-6,1033,70,7.3147
O000001001,2022-01-08 04:30:00.000,122121.46100910891,-6,1033,69,7.2185
O000001001,2022-01-08 04:35:00.000,122121.46100910891,-6,1033,69,7.2185
O000001001,2022-01-08 04:40:00.000,122121.46100910891,-6,1033,70,7.3147
O000001001,2022-01-08 04:45:00.000,122121.46100910891,-6,1033,69,7.2185
O000001001,2022-01-08 04:50:00.000,122121.46100910891,-6,1033,71,7.4110
O000001001,2022-01-08 04:55:00.000,122121.46100910891,-6,1033,71,7.4110
O000001001,2022-01-08 05:00:00.000,122121.46100910891,-6,1033,71,7.4110
O000001001,2022-01-08 05:05:00.000,122121.46100910891,-6,1033,70,7.3147
O000001001,2022-01-08 05:10:00.000,122121.46100910891,-6,1033,69,7.2185
O000001001,2022-01-08 05:15:00.000,122121.46100910891,-6,1033,89,9.1434
O000001001,2022-01-08 05:20:00.000,122121.46100910891,-6,1033,100,10.2021
O000001001,2022-01-08 05:25:00.000,122121.46100910891,-6,1033,111,11.2608
O000001001,2022-01-08 05:30:00.000,122121.46100910891,-6,1033,120,12.1270
O000001001,2022-01-08 05:35:00.000,122121.46100910891,-6,1033,125,12.6083
O000001001,2022-01-08 05:40:00.000,122121.46100910891,-6,1033,125,12.6083
O000001001,2022-01-08 05:45:00.000,122121.46100910891,-6,1033,128,12.8970
O000001001,2022-01-08 05:50:00.000,122121.46100910891,-6,1033,128,12.8970
O000001001,2022-01-08 05:55:00.000,122121.46100910891,-6,1033,128,12.8970
O000001001,2022-01-08 06:00:00.000,122121.46100910891,-6,1033,126,12.7045
O000001001,2022-01-08 06:05:00.000,122121.46100910891,-6,1033,126,12.7045
O000001001,2022-01-08 06:10:00.000,122121.46100910891,-6,1033,119,12.0308
O000001001,2022-01-08 06:15:00.000,122121.46100910891,-6,1033,111,11.2608
O000001001,2022-01-08 06:20:00.000,122121.46100910891,-6,1033,118,11.9346
