"code_pluviometre","date_observation","distance","precipitation"
"31011001",2022-01-08,88230.05793734276,7.4
"31035001",2022-01-08,13506.466191476335,4.0
"31042012",2022-01-08,127415.575235681,8.4
"31069001",2022-01-08,3989.958472208172,0.8
"31070004",2022-01-08,94082.76170034448,3.4
"31147001",2022-01-08,104677.61912633706,7.2
"31157001",2022-01-08,8889.910174703222,1.4
"31221400",2022-01-08,138484.17911641818,2.0
"31271001",2022-01-08,26294.705652534667,3.8
"31299001",2022-01-08,24283.571611676947,2.0
"31374001",2022-01-08,32784.54095664272,2.2
"31403002",2022-01-08,21348.878695501193,2.8
"31404001",2022-01-08,135698.07250657384,10.5
"31406002",2022-01-08,60826.72040692892,1.4
"31451001",2022-01-08,70026.49359357842,3.4
"31454001",2022-01-08,39725.34164614296,1.0
"31478001",2022-01-08,55317.46889621733,4.6
"31508400",2022-01-08,129410.30558910916,10.5
"31540001",2022-01-08,38921.48567484515,3.4
"31573001",2022-01-08,27898.19083202244,2.9
"31579001",2022-01-08,16765.129718687844,2.4
"09023002",2022-01-08,112101.95870197506,23.4
"09023400",2022-01-08,114757.8961005521,24.0
"09024004",2022-01-08,103153.72784686994,3.8
"09027001",2022-01-08,93307.81016153237,10.0
"09032402",2022-01-08,110509.88585182828,1.5
"09047001",2022-01-08,97695.51508552399,8.6
"09070400",2022-01-08,103160.34869622832,10.7
"09094001",2022-01-08,66347.44043262622,2.0
"09099001",2022-01-08,73039.08540352262,5.6
"09135400",2022-01-08,97350.18895737018,22.5
"09161003",2022-01-08,88914.98863167671,4.8
"09181003",2022-01-08,59896.383285521966,7.4
"09193400",2022-01-08,118931.31681070912,18.2
"09199002",2022-01-08,53006.86586119594,0.6
"09206400",2022-01-08,92737.4275010327,16.0
"09225005",2022-01-08,58657.78434582506,2.1
"09289001",2022-01-08,75289.06425933287,3.2
"09290400",2022-01-08,101162.18755259339,8.2
"09301001",2022-01-08,79748.82705109587,8.6
"09328001",2022-01-08,95986.73644787655,6.8
"31011001",2022-01-09,88230.05793734276,58.9
"31035001",2022-01-09,13506.466191476335,43.0
"31042012",2022-01-09,127415.575235681,50.6
"31069001",2022-01-09,3989.958472208172,36.9
"31070004",2022-01-09,94082.76170034448,44.4
"31085400",2022-01-09,105612.62249788013,138.0
"31147001",2022-01-09,104677.61912633706,50.6
"31157001",2022-01-09,8889.910174703222,47.0
"31221400",2022-01-09,138484.17911641818,67.0
"31271001",2022-01-09,26294.705652534667,41.9
"31299001",2022-01-09,24283.571611676947,39.7
"31374001",2022-01-09,32784.54095664272,48.8
"31403002",2022-01-09,21348.878695501193,33.8
"31404001",2022-01-09,135698.07250657384,56.7
"31406002",2022-01-09,60826.72040692892,36.8
"31451001",2022-01-09,70026.49359357842,52.1
"31454001",2022-01-09,39725.34164614296,39.6
"31478001",2022-01-09,55317.46889621733,38.8
"31508400",2022-01-09,129410.30558910916,72.2
"31540001",2022-01-09,38921.48567484515,44.0
"31573001",2022-01-09,27898.19083202244,50.0
"31579001",2022-01-09,16765.129718687844,41.0
"09023002",2022-01-09,112101.95870197506,112.1
"09023400",2022-01-09,114757.8961005521,83.0
"09024004",2022-01-09,103153.72784686994,48.4
"09027001",2022-01-09,93307.81016153237,96.5
"09047001",2022-01-09,97695.51508552399,62.0
"09070400",2022-01-09,103160.34869622832,30.0
"09094001",2022-01-09,66347.44043262622,44.6
